long_name,overall,potential,cluster
Luís Miguel Afonso Fernandes,78,78,0
Sérgio Miguel Relvas de Oliveira,78,78,0
Daniel José Rodríguez Vázquez,78,78,0
Pablo Sarabia García,78,78,0
Mathew David Ryan,78,78,1
Jordy Clasie,78,78,0
Jasper Cillessen,78,78,1
Agustín Federico Marchesín,78,78,1
Ismaily Gonçalves dos Santos,78,78,0
Gabriel Armando de Abreu,78,78,0
Remo Marco Freuler,78,78,0
Igor Caique Coronado,78,78,0
Thorgan Ganael Francis Hazard,78,78,0
Héctor Bellerín Moruno,78,78,0
Paulo Dino Gazzaniga,78,78,1
Fernando Martínez Rubio,78,78,1
James Ward-Prowse,78,78,0
Taras Stepanenko,78,78,0
Felipe Augusto de Almeida Monteiro,78,78,0
Sead Kolašinac,78,78,0
Joël Ivo Veltman,78,78,0
Romain Saïss,78,78,0
Andrea Belotti,78,78,0
Adrien Thomasson,78,78,0
Jamie Vardy,78,78,0
Rachid Ghezzal,78,78,0
Ahmed Elsayed Ali Elsayed Hegazy,78,78,0
Rubén García Santos,78,78,0
Philipp Martin Max,78,78,0
Federico Bernardeschi,78,78,0
Mario René Junior Lemina,78,78,0
Sardar Azmoun,78,78,0
Gustavo Leonardo Cuéllar Gallego,78,78,0
Giovanni Pablo Simeone,78,78,0
Andre Jason Blake,78,78,1
Mahmoud Dahoud,78,78,0
Hans Hateboer,78,78,0
Munir El Haddadi Mohamed,78,78,0
Martin Dúbravka,78,78,1
Mohamed Saïd Benrahma,78,78,0
Naby Keïta,78,78,0
Jonathan Gradit,78,78,0
이재성 李在成,78,78,0
Rick Karsdorp,78,78,0
Sheraldo Becker,78,78,0
Marius Wolf,78,78,0
Habibou Mouhamadou Diallo,78,78,0
Denis Athanase Bouanga,78,78,0
Nicolas Pépé,78,78,0
Nélson Cabral Semedo,78,78,0
Branco van den Boomen,78,78,0
Rade Krunić,78,78,0
Stefano Sensi,78,78,0
Gérson Adriano Gutierres Serra,78,78,0
Wellingt. Edson Sabrão Rolim,78,78,0
A. Zervandro Chiamuloira Paes,78,78,0
Pedro Tofico Dourado Hermes,78,78,0
Hediselton Simão Resende,78,78,0
Danilo Manuel Vieira Espíndola,78,78,0
Alberto Marcelo Dutra Cirino,78,78,0
G. Pierre Paiva Souza,78,78,0
Arturo Adolfo Inálcio Dutra,78,78,0
Fred Claudinei Tófoli Vilela,78,78,0
Jason Bardeira Cunha,78,78,0
Jonathan Prazeres Conradi,78,78,0
Ruslan Malinovskyi,78,78,0
伊东 纯也,78,78,0
Rodrigo Germán Aliendro,78,78,0
Antonín Barák,78,78,0
Nemanja Maksimović,78,78,0
Junior Walter Messias,78,78,0
守田 英正,78,78,0
Luis Milla Manzanares,78,78,0
Vladimír Coufal,78,78,0
Luis Alfonso Espino García,78,78,0
Kodjo Fo-Doh Laba,78,78,0
Myrto Uzuni,78,78,0
Arda Güler,77,88,0
Youssoufa Moukoko,77,87,0
Fabiano Parisi,77,87,0
Nicolò Fagioli,77,87,0
Tommaso Baldanzi,77,87,0
Alessandro Buongiorno,77,86,0
Nicolò Rovella,77,86,0
Iyenoma Destiny Udogie,77,86,0
Morten Due Hjulmand,77,85,0
Harvey Elliott,77,85,0
Jérémy Doku,77,85,0
Adam Hložek,77,85,0
Emmanuel Kouadio Koné,77,85,0
Anatoliy Trubin,77,85,1
Rodrigo Riquelme Reche,77,85,0
Chukwunonso Tristan Madueke,77,85,0
Malick Laye Thiaw,77,85,0
Rodrigo Sánchez Rodríguez,77,85,0
Junior Castello Lukeba,77,85,0
Luiz Henrique André Rosa da Silva,77,85,0
Andreas Skov Olsen,77,84,0
Mateo Retegui,77,84,0
Mykola Shaparenko,77,84,0
Francisco António Machado Mota Castro Trincão,77,84,0
Enzo Jérémy Le Fée,77,84,0
Felix Kalu Nmecha,77,84,0
Samuel Dias Lino,77,84,0
Ladislav Krejčí,77,84,0
Loïc Badé,77,84,0
Amine Adli,77,84,0
Vanderson de Oliveira Campos,77,84,0
Ferdi Erenay Kadıoğlu,77,83,0
Yehvann Diouf,77,83,1
Sebastian Szymański,77,83,0
Ezequiel Omar Barco,77,83,0
Morgan Anthony Gibbs-White,77,83,0
Nicolás Martín Domínguez,77,83,0
Juan Miranda González,77,83,0
Musa Barrow,77,83,0
Curtis Jones,77,83,0
Jesper Grænge Lindstrøm,77,83,0
Bryan Gil Salvatierra,77,83,0
Thierry Rendall Correia,77,83,0
Fábio Daniel Ferreira Vieira,77,83,0
Igor Guilherme Barbosa da Paixão,77,83,0
Oluwatosin Adarabioyo,77,82,0
César Jasib Montes Castro,77,82,0
Lukas Nmecha,77,82,0
Trevoh Chalobah,77,82,0
Justin Kluivert,77,82,0
Santiago Ignacio Bueno Sciutto,77,82,0
Oliver Skipp,77,82,0
Sofiane Diop,77,82,0
Manor Solomon,77,82,0
João Mário Neto Lopes,77,82,0
Éderson José dos Santos Lourenço da Silva,77,82,0
Luka Jović,77,81,0
Domilson Cordeiro dos Santos,77,81,0
Merih Demiral,77,81,0
Pedro Lomba Neto,77,81,0
Unai Núñez Gestoso,77,81,0
Pape Alassane Gueye,77,81,0
Luís Manuel Arantes Maximiano,77,81,1
Terem Igobor Moffi,77,81,0
Arthur Nicolas Theate,77,81,0
Lorenzo Montipò,77,80,1
Bartłomiej Drągowski,77,80,1
Martin Valjent,77,80,0
Donny van de Beek,77,80,0
Dominic Calvert-Lewin,77,80,0
Stefan Posch,77,80,0
Marvin Schwäbe,77,80,1
André Filipe Luz Horta,77,80,0
Jeremiah St. Juste,77,80,0
Lucas Simon Pierre Tousart,77,80,0
Lucas Martínez Quarta,77,80,0
Levi Samuel Garcia,77,80,0
Bryan Heynen,77,80,0
Taiwo Michael Awoniyi,77,80,0
Umar Sadiq Mesbah,77,80,0
Rafael Mir Vicente,77,80,0
板仓 晃,77,80,0
Nanitamo Jonathan Ikoné,77,80,0
Timo Bernd Hübers,77,80,0
Christian Michael Kouamé Kouakou,77,80,0
Óscar Melendo Jiménez,77,80,0
Stephen Antunes Eustáquio,77,80,0
Romain Faivre,77,80,0
Borna Sosa,77,80,0
Muhammed Kerem Aktürkoğlu,77,80,0
Rodrigo Garro,77,80,0
Clément Nicolas Laurent Lenglet,77,79,0
Yerry Fernando Mina González,77,79,0
Nico Elvedi,77,79,0
Nadiem Amiri,77,79,0
Moussa Niakhaté,77,79,0
Julian Ryerson,77,79,0
Matthew Charles Turner,77,79,1
Domingos Sousa Coutinho Meneses Duarte,77,79,0
Marshall Nyasha Munetsi,77,79,0
Rodrigo Nascimento França,77,79,0
Saša Kalajdžić,77,79,0
Andreas Hugo Hoelgebaum Pereira,77,78,0
Ruben Loftus-Cheek,77,78,0
Fábio Rafael Rodrigues Cardoso,77,78,0
Aleksey Miranchuk,77,78,0
Guillermo Alfonso Maripán Loaysa,77,78,0
Philip Billing,77,78,0
Davinson Sánchez Mina,77,78,0
Lucas Ariel Boyé,77,78,0
Timothy Castagne,77,78,0
Orbelín Pineda Alvarado,77,78,0
Gorka Guruzeta Rodríguez,77,78,0
Marko Grujić,77,78,0
Çağlar Söyüncü,77,78,0
Konstantinos Tsimikas,77,78,0
Gabriel Tadeu Strefezza Rebelato,77,78,0
Saša Lukić,77,78,0
Daniel Muñoz Mejía,77,78,0
Maximiliano Gómez González,77,78,0
Jorge de Frutos Sebastián,77,78,0
José Manuel Reina Páez,77,77,1
James Philip Milner,77,77,0
Raúl García Escudero,77,77,0
Iván Marcano Sierra,77,77,0
Javier Hernández Balcázar,77,77,0
Willian Borges da Silva,77,77,0
Odion Jude Ighalo,77,77,0
Fabio Borini,77,77,0
Cristhian Ricardo Stuani Curbelo,77,77,0
Ante Budimir,77,77,0
Aaron Cresswell,77,77,0
Łukasz Skorupski,77,77,1
Asier Illarramendi Andonegi,77,77,0
Daley Blind,77,77,0
Jaume Vicent Costa Jordá,77,77,0
Christopher Trimmel,77,77,0
Martin Braithwaite Christensen,77,77,0
Idrissa Gana Gueye,77,77,0
Rafał Gikiewicz,77,77,1
Craig Dawson,77,77,0
Daniel William John Ings,77,77,0
Yaroslav Rakitskyi,77,77,0
Enzo Nicolás Pérez,77,77,0
Marvin Ducksch,77,77,0
Florian Lejeune,77,77,0
Nathan Redmond,77,77,0
Alex Oxlade-Chamberlain,77,77,0
Danilo D'Ambrosio,77,77,0
Manuel Riemann,77,77,1
Jordi Masip López,77,77,1
Leandro Martín González Pírez,77,77,0
Faustino Marcos Alberto Rojo,77,77,0
Julian Draxler,77,77,0
Eric Dier,77,77,0
Gianluca Caprari,77,77,0
Robin Knoche,77,77,0
Iván Balliu Campeny,77,77,0
Damián Nicolás Suárez Suárez,77,77,0
Christoph Kramer,77,77,0
Janis Jonathan Blaswich,77,77,1
Michy Batshuayi Tunga,77,77,0
Raúl Mario Ruidíaz Misitich,77,77,0
Juan Bernat Velasco,77,77,0
Marko Livaja,77,77,0
Benjamin Thomas Davies,77,77,0
Jordan Ferri,77,77,0
Alassane Alexandre Pléa,77,77,0
Yunis Abdelhamid,77,77,0
Manuel Trigueros Muñoz,77,77,0
Mitchell Weiser,77,77,0
Leandro Daniel Paredes,77,77,0
Viktor Johan Anton Claesson,77,77,0
Michael Keane,77,77,0
Abdoulaye Doucouré,77,77,0
Lucas Torró Marset,77,77,0
Berat Djimsiti,77,77,0
Adnan Januzaj,77,77,0
Clinton Mukoni Mata Pedro Lourenço,77,77,0
Darwin Daniel Machís Marcano,77,77,0
Juan Fernando Quintero Paniagua,77,77,0
Salem Mohammed Al-Dawsari,77,77,0
Christian Thers Nørgaard,77,77,0
Emerson Palmieri dos Santos,77,77,0
Danilo Cataldi,77,77,0
Armindo Tué Na Bangna,77,77,0
André Filipe Tavares Gomes,77,77,0
Nicolae Claudiu Stanciu,77,77,0
Dominik Kohr,77,77,0
Yannick Gerhardt,77,77,0
Diego Javier Llorente Ríos,77,77,0
Abderrazak Hamdallah,77,77,0
Jefferson Andrés Lerma Solís,77,77,0
Johan Andrés Mojica Palacio,77,77,0
Franco Armani,77,77,1
Carlos Joaquín Correa,77,77,0
Serhou Yadaly Guirassy,77,77,0
Andrea Petagna,77,77,0
Youssouf Sabaly,77,77,0
Marco Sportiello,77,77,1
Ihlas Bebou,77,77,0
João Paulo Dias Fernandes,77,77,0
Nuno Miguel Ribeiro Cruz Jerónimo Sequeira,77,77,0
Djené Dakonam Ortega,77,77,0
Gonzalo Escalante,77,77,0
Baptiste Santamaría,77,77,0
Matías Vecino Falero,77,77,0
Ante Rebić,77,77,0
Diego Rico Salguero,77,77,0
Demarai Gray,77,77,0
Luciano Federico Acosta,77,77,0
Franco Emanuel Cervi,77,77,0
Wout Weghorst,77,77,0
Jonathan Bamba,77,77,0
Pere Milla Peña,77,77,0
Pablo Fornals Malla,77,77,0
Vincent Janssen,77,77,0
Florian Sotoca,77,77,0
Brian Oliván Herrero,77,77,0
Abdülkerim Bardakçı,77,77,0
Alessandro L. Baia Marques,77,77,0
Enzo Leandro Chissano Baia,77,77,0
Claudio Nuno Coíntra Calegari,77,77,0
Wagner Mauro Laranjo Coelho,77,77,0
Andeson Jaime Trigo Gonçalves,77,77,0
Jadson José Meireles Correia,77,77,0
Rodrigo Éder Vuarte Ruiz,77,77,0
Victorio Martin Maia Padilha Jabim,77,77,0
Murildo Kauê Cadete Teixeira,77,77,0
Sidney Adrián Pessoa Vidigal,77,77,0
Yoane Wissa,77,77,0
Ghislain Konan,77,77,0
Jiří Pavlenka,77,77,1
Michael Richard Delgado de Oliveira,77,77,0
Anthony Nuatuzor Nwakaeme,77,77,0
古橋 亨梧,77,77,0
Tomáš Holeš,77,77,0
Josip Juranović,77,77,0
Rasmus Winther Højlund,76,89,0
Samuele Ricci,76,86,0
Wilfried Stephane Singo,76,85,0
Malo Gusto,76,85,0
Abel Ruiz Ortega,76,84,0
Oumar Mickael Solet Bomawoko,76,84,0
Maxence Lacroix,76,84,0
Nicolas Seiwald,76,84,0
Alan Gonzalo Varela,76,84,0
Bradley Barcola,76,84,0
João Victor Gomes da Silva,76,84,0
Adilson Angel Abreu de Almeida Gomes,76,83,0
Jesús David Ferreira Castro,76,83,0
Mikkel Krogh Damsgaard,76,83,0
Noah Arinzechukwu Okafor,76,83,0
Lucas Beltrán,76,83,0
Odilon Kossounou,76,83,0
Nathan Michael Collins,76,83,0
Mats Wieffer,76,83,0
Brennan Price Johnson,76,83,0
Charles De Ketelaere,76,83,0
Brian Ebenezer Adjei Brobbey,76,83,0
Nicolás González Iglesias,76,83,0
Adrien Truffert,76,83,0
Amadou Zeund Georges Ba Mvom Onana,76,83,0
Alejandro Baena Rodríguez,76,83,0
Ivan Ilić,76,83,0
Nicola Zalewski,76,83,0
Cameron Carter-Vickers,76,82,0
Patricio Nehuen Pérez,76,82,0
Aníbal Ismael Moreno,76,82,0
Jordan Teze,76,82,0
Leandro Barreiro Martins,76,82,0
Mateus Cardoso Lemos Martins,76,82,0
Aaron Buchanan Hickey,76,82,0
David Mota Veiga Teixeira Carmo,76,82,0
Sergiño Gianni Dest,76,82,0
Tommaso Pobega,76,82,0
Tiago Emanuel Embaló Djaló,76,82,0
Azzedine Ounahi,76,82,0
Danilo dos Santos de Oliveira,76,82,0
Niklas Bernd Dorsch,76,81,0
Eray Ervin Cömert,76,81,0
Owen Wijndal,76,81,0
Juan Camilo Hernández Suárez,76,81,0
Sikou Niakaté,76,81,0
Martín Exequiel Ojeda,76,81,0
Tyrick Mitchell,76,81,0
Igor Júlio dos Santos de Paulo,76,81,0
Sebastiaan Bornauw,76,81,0
Leonardo Julián Balerdi Rossa,76,81,0
Dwight McNeil,76,81,0
Mohamed Salisu Abdul Karim,76,81,0
Adrià Giner Pedrosa,76,81,0
Riccardo Sottil,76,81,0
Álvaro Vallés Rosa,76,81,1
Alex Král,76,81,0
Nuno Albertino Varela Tavares,76,81,0
Luka Ivanušec,76,81,0
Arnaud Kalimuendo-Muinga,76,81,0
Murphy Oscar Dorley,76,81,0
Warmed Omari,76,81,0
Vítor Manuel Carvalho Oliveira,76,81,0
Alexander Nübel,76,80,1
Vanja Milinković-Savić,76,80,1
Olivier Maxime Boscagli,76,80,0
Kamil Mieczysław Grabara,76,80,1
Mattias Olof Svanberg,76,80,0
Maximilian Wöber,76,80,0
Yangel Clemente Herrera Ravelo,76,80,0
Orel Mangala,76,80,0
Diogo Filipe Monteiro Pinto Leite,76,80,0
Josip Brekalo,76,80,0
Houssem Aouar,76,80,0
Vitaly Janelt,76,80,0
Weston James Earl McKennie,76,80,0
Azor Matusiwa,76,80,0
Hamed Junior Traorè,76,80,0
Jonas Older Wind,76,80,0
Maximilian Kilman,76,80,0
Lucas Silva Melo,76,80,0
Attila Árpád Szalai,76,80,0
Ignacio De Arruabarrena Fernández,76,80,1
Federico Gatti,76,80,0
Pierluigi Gollini,76,79,1
Václav Černý,76,79,0
Duje Ćaleta-Car,76,79,0
Rolando Mandragora,76,79,0
Jan Thilo Kehrer,76,79,0
Augusto Martín Batalla Barga,76,79,1
Mykola Matviienko,76,79,0
Álvaro David Montero Perales,76,79,1
Suat Serdar,76,79,0
Mouctar Diakhaby,76,79,0
James Justin,76,79,0
中村 航輔,76,79,1
Wout Felix Lina Faes,76,79,0
Rasmus Schmidt Nicolaisen,76,79,0
Ismaïla Sarr,76,79,0
Robin Koch,76,79,0
Kiernan Dewsbury-Hall,76,79,0
Kai Wagner,76,79,0
Carles Pérez Sayol,76,79,0
Dejan Ljubičić,76,79,0
Diego Martín Rossi Marachlian,76,79,0
菅原 由勢,76,79,0
Altay Bayındır,76,79,1
Javier Puado Díaz,76,79,0
Ramiz Larbi Zerrouki,76,79,0
Hicham Boudaoui,76,79,0
Alexander Antonio Alvarado Carriel,76,79,0
Jan Kuchta,76,79,0
Wladimiro Falcone,76,78,1
Jindřich Staněk,76,78,1
Robin Zentner,76,78,1
Mehmet Zeki Çelik,76,78,0
Stephy Alvaro Mavididi,76,78,0
Stijn Spierings,76,78,0
Kyle Walker-Peters,76,78,0
Joshua Jon Cullen,76,78,0
Hugo Cuypers,76,78,0
Aïssa Bilal Laïdouni,76,78,0
Joakim Mæhle Pedersen,76,78,0
Antonio Martínez López,76,78,0
Marcos Nicolás Senesi Barón,76,78,0
Anthony Caci,76,78,0
Omar Federico Alderete Fernández,76,78,0
Zaidu Sanusi,76,78,0
Malcom Nahuel Braida,76,78,0
Maxime Dupé,76,77,1
Harrison Reed,76,77,0
Moussa Dembélé,76,77,0
Alexander Djiku,76,77,0
Chuba Akpom,76,77,0
Gnaly Maxwel Cornet,76,77,0
Kenny Joelle Tete,76,77,0
Andries Noppert,76,77,1
Matt Targett,76,77,0
Eric Bertrand Bailly,76,77,0
Kelechi Promise Iheanacho,76,77,0
Julien Laporte,76,77,0
Rob Holding,76,77,0
Florian Grillitsch,76,77,0
Antonee Robinson,76,77,0
Jack Harrison,76,77,0
Amine Harit,76,77,0
Álvaro Odriozola Arzalluz,76,77,0
Roland Sallai,76,77,0
Valentin André Henri Rosier,76,77,0
Răzvan Gabriel Marin,76,77,0
Eric Curbelo de la Fe,76,77,0
Dániel Gazdag,76,77,0
Andoni Gorosabel Espinosa,76,77,0
Álvaro Aguado Méndez,76,77,0
Iddrisu Baba Mohammed,76,77,0
Kiril Despodov,76,77,0
Santiago Cazorla González,76,76,0
Ashley Young,76,76,0
José Andrés Guardado Hernández,76,76,0
Fraser Forster,76,76,1
Daniel Wass,76,76,0
Kévin Gameiro,76,76,0
Adam David Lallana,76,76,0
Noureddine Amrabat,76,76,0
Max Bennet Kruse,76,76,0
Angelo Obinze Ogbonna,76,76,0
Daniel Nii Tackie Mensah Welbeck,76,76,0
Patrick John Miguel van Aanholt,76,76,0
Steven N'Kemboanza Mike Christopher Nzonzi,76,76,0
Manuel Lanzini,76,76,0
Francesco Caputo,76,76,0
Roman Bürki,76,76,1
Aridane Hernández Umpiérrez,76,76,0
Steven Zuber,76,76,0
Rubén Salvador Pérez del Mármol,76,76,0
Marwin Hitz,76,76,1
Mats Rits,76,76,0
艾克森,76,76,0
Kevin Vogt,76,76,0
Paulo Victor de Mileo Vidotti,76,76,1
Germán Alejandro Pezzella,76,76,0
Willian José da Silva,76,76,0
Marco Davide Faraoni,76,76,0
Dorlan Mauricio Pabón Ríos,76,76,0
Marcelo Nicolás Lodeiro Benítez,76,76,0
Jonas Svensson,76,76,0
Cédric Bakambu,76,76,0
Nicolas Höfler,76,76,0
Magomed Ozdoev,76,76,0
Marco Bizot,76,76,1
Cristian Tello Herrera,76,76,0
Benjamin Lecomte,76,76,1
Jeffrey Schlupp,76,76,0
Riccardo Saponara,76,76,0
Aïssa Mandi,76,76,0
Massadio Haïdara,76,76,0
Conor Coady,76,76,0
Thomas Meunier,76,76,0
Jérôme Roussillon,76,76,0
Willy-Arnaud Zobo Boly,76,76,0
Davy Klaassen,76,76,0
Bobby De Cordova-Reid,76,76,0
John Anthony Brooks,76,76,0
Roque Mesa Quevedo,76,76,0
Raúl Alonso Jiménez Rodríguez,76,76,0
Fayçal Fajr,76,76,0
Iñigo Ruiz de Galarreta Etxeberria,76,76,0
Alberto Moreno Pérez,76,76,0
João Paulo Mior,76,76,0
Mattia De Sciglio,76,76,0
Sam Johnstone,76,76,1
Jacob Murphy,76,76,0
Patricio Gabarrón Gil,76,76,0
Miroslav Stevanović,76,76,0
Pablo Marí Villar,76,76,0
Franco Damián Vázquez,76,76,0
Yussuf Yurary Poulsen,76,76,0
Willian Souza Arão da Silva,76,76,0
Petros Mantalos,76,76,0
Anastasios Bakasetas,76,76,0
Johan Gastien,76,76,0
Ryan Gauld,76,76,0
Craig Alexander Goodwin,76,76,0
Jean-Pierre Nsame,76,76,0
Alberto Brignoli,76,76,1
Jonathan Castro Otto,76,76,0
Renato Steffen,76,76,0
Melingo Kevin Mbabu,76,76,0
Marcel Halstenberg,76,76,0
Casper Mørup Nielsen,76,76,0
Elseid Hysaj,76,76,0
Morgan Sanson,76,76,0
Alexandru Iulian Maxim,76,76,0
Rani Khedira,76,76,0
Darko Lazović,76,76,0
Brandon Mechele,76,76,0
Álvaro Medrán Just,76,76,0
Arthur Masuaku,76,76,0
Walker Dwain Zimmerman,76,76,0
Hans Carl Ludwig Augustinsson,76,76,0
Laurent Abergel,76,76,0
Flavien Tait,76,76,0
Alex Iwobi,76,76,0
Helton Brant Aleixo Leite,76,76,1
Adama Traoré Diarra,76,76,0
Frank Yusty Fabra Palacios,76,76,0
Paulo César Díaz Huincales,76,76,0
Lucas Hernán Villalba,76,76,0
Javier Nicolás Burrai,76,76,1
Milton Casco,76,76,0
Lorenzo Abel Faravelli,76,76,0
Guido Gabriel Herrera,76,76,1
Silvan Dominic Widmer,76,76,0
Daniel García Carrillo,76,76,0
Danilo Teodoro Soares,76,76,0
Wendell Nascimento Borges,76,76,0
Cristian Daniel Arango Duque,76,76,0
Birger Solberg Meling,76,76,0
Carlos Alberto Carvalho da Silva Júnior,76,76,0
Jorge Nicolás Figal,76,76,0
Adrián Embarba Blázquez,76,76,0
Óscar David Romero Villamayor,76,76,0
Júnior Nazareno Sornoza Moreira,76,76,0
Andrija Živković,76,76,0
Deiver Andrés Machado Mena,76,76,0
Franck Honorat,76,76,0
Rafael Santos Borré Maury,76,76,0
Sverrir Ingi Ingason,76,76,0
Dénes Dibusz,76,76,1
Ruben Aguilar,76,76,0
Karl Brillant Toko Ekambi,76,76,0
Fábio Santos Martins,76,76,0
Ryan Kent,76,76,0
Mahmoud Ahmed Ibrahim Hassan,76,76,0
황희찬 黄喜灿,76,76,0
Bart Nieuwkoop,76,76,0
Angelo Fulgini,76,76,0
Frédéric Guilbert,76,76,0
Lukáš Haraslín,76,76,0
Grischa Prömel,76,76,0
Karim Onisiwo,76,76,0
Milot Rashica,76,76,0
Mathias Jensen,76,76,0
Pierre Lees-Melou,76,76,0
Lúcio Anselmo Corteijo Salazar,76,76,0
Antonaldo David Machado Chagas,76,76,0
Cristian Also Laranjeiro Sá,76,76,0
Fred Marcos Aníbal Dias,76,76,1
Pierre Tomás Torres De Faria,76,76,1
Nicolás Evandro Filheiro Stein,76,76,0
Rubem Thomas Esteiro Branco,76,76,0
David Jefferson Seijalbo Vaz,76,76,0
Gabriel Jairo Aníbal Rangel,76,76,0
Simão Alvin Acunha Bardini,76,76,0
Adilson Patrick Edrada Pereira,76,76,0
Rafael Jorgino Cachoira Rebelo,76,76,0
Mijat Gaćinović,76,76,0
Fernando Matías Zampedri,76,76,0
Luan Peres Petroni,76,76,0
Christian Fassnacht,76,76,0
Davidson Da Luz Pereira,76,76,0
Ignacio Vidal Miralles,76,76,0
Aaron Salem Boupendza Pozzi,76,76,0
Aitor Ruibal García,76,76,0
Óscar Valentín Martín Luengo,76,76,0
Francisco Leonel Lima Silva Machado,76,76,0
Vitaliy Buyalskyi,76,76,0
Petr Ševčík,76,76,0
Soufiane Rahimi,76,76,0
Alejandro Garnacho Ferreyra,75,88,0
Fabio Miretti,75,88,0
Warren Zaïre-Emery,75,88,0
Mathis Rayan Cherki,75,86,0
Arsen Zakharyan,75,86,0
Giorgio Scalvini,75,86,0
Johan Bakayoko,75,86,0
Farès Chaïbi,75,86,0
Maarten Vandevoordt,75,85,1
Enzo Loiodice,75,85,0
Mason Greenwood,75,85,0
Mykhailo Mudryk,75,85,0
Sergio Camello Pérez,75,85,0
Facundo Hernán Farías,75,85,0
Bart Verbruggen,75,85,1
Gabriel Veron Fonseca de Souza,75,85,0
Heorhii Sudakov,75,85,0
Benjamin Šeško,75,85,0
Milos Kerkez,75,85,0
Filipe Bem Relvas Vito Oliveira,75,85,0
Alberto Moleiro González,75,85,0
Alejo Véliz,75,85,0
Ousmane Diomande,75,85,0
Lázaro Vinicius Marques,75,85,0
Nicolas Thierry Raskin,75,84,0
Anthony Gordon,75,84,0
Pedro De la Vega,75,84,0
Ander Barrenetxea Muguruza,75,84,0
Thijs Dallinga,75,84,0
Alan Agustín Velasco,75,84,0
Jakub Kamiński,75,84,0
Artem Bondarenko,75,84,0
Pablo Solari,75,84,0
Víctor Chust García,75,84,0
Cristian Nicolás Medina,75,84,0
Andrew da Silva Ventura,75,84,1
Gift Emmanuel Orban,75,84,0
Anel Ahmedhodžić,75,83,0
Matthew Sean O'Riley,75,83,0
中村 敬斗,75,83,0
Iván Jaime Pajuelo,75,83,0
Hugo Guillamón Sammartín,75,83,0
Sékou Koïta,75,83,0
Strahinja Pavlović,75,83,0
Kenneth Ina Dorothea Taylor,75,83,0
Felipe Rodrigues da Silva,75,83,0
Armando Broja,75,83,0
Devyne Fabian Jairo Rensch,75,83,0
Isak Hien,75,83,0
José Manuel Arias Copete,75,83,0
Saúl Basilio Coco Bassey Oubiña,75,83,0
Saba Sazonov,75,83,0
Arijanet Anan Murić,75,82,1
Rayan Aït-Nouri,75,82,0
Illan Meslier,75,82,1
Louis Jordan Beyer,75,82,0
Ricard Puig Martí,75,82,0
Matěj Kovář,75,82,1
Jaka Bijol,75,82,0
Eric García Martret,75,82,0
Bafodé Diakité,75,82,0
Milan Fabrizio van Ewijk,75,82,0
Rodrigo Román Villagra,75,82,0
Josh Thomas Doig,75,82,0
Wellington Moisés Ramírez Preciado,75,82,1
Vinicius de Souza Costa,75,82,0
Ozan Muhammed Kabak,75,81,0
Lewis Ferguson,75,81,0
Igoh Ogbu,75,81,0
Zakaria Aboukhlal,75,81,0
Josip Stanišić,75,81,0
Benjamín Rollheiser,75,81,0
Alistair Johnston,75,81,0
Anton Stach,75,81,0
Hugo Ekitike,75,81,0
Ansgar Knauff,75,81,0
Adem Zorgane,75,81,0
Ferran Jutglà Blanch,75,81,0
Patrick Berg,75,80,0
Marek Rodák,75,80,1
Kristoffer Vassbakk Ajer,75,80,0
Jonathan Montiel Caballero,75,80,0
伊藤 宏樹,75,80,0
Dennis Geiger,75,80,0
Ryan Yates,75,80,0
Kouassi Ryan Sessegnon,75,80,0
Edward Nketiah,75,80,0
Djordje Mihailovic,75,80,0
Arne Maier,75,80,0
Krépin Diatta,75,80,0
Óscar Rodríguez Arnaiz,75,80,0
Edon Zhegrova,75,80,0
Callum Hudson-Odoi,75,80,0
Mauro Jaqueson Júnior Ferreira dos Santos,75,80,0
Viktor Einar Gyökeres,75,80,0
Tariq Lamptey,75,80,0
Luis Javier Suárez Charris,75,80,0
Javier Sánchez de Felipe,75,80,0
Tomáš Čvančara,75,80,0
Eric Junior Dina Ebimbe,75,80,0
Youssouf Ndayishimiye,75,80,0
Omar Khaled Mohamed Marmoush,75,80,0
Ondřej Lingr,75,80,0
Gastón Alan Hernández,75,80,0
Sandi Lovrič,75,79,0
Todd Cantwell,75,79,0
Sander Gard Bolin Berge,75,79,0
Kasper Dolberg Rasmussen,75,79,0
Ohis Felix Uduokhai,75,79,0
Lincoln Henrique Oliveira dos Santos,75,79,0
Evander da Silva Ferreira,75,79,0
Jean-Ricner Bellegarde,75,79,0
Marc Roca Junqué,75,79,0
Giulio Maggiore,75,79,0
Marcus Tavernier,75,79,0
Emmanuel Bonaventure Dennis,75,79,0
Julian Chabot,75,79,0
Patson Daka,75,79,0
Uroš Račić,75,79,0
Vitaliy Mykolenko,75,79,0
Marash Kumbulla,75,79,0
Alexis Laurent Patrice Roge Flips,75,79,0
Ivo Grbić,75,79,1
Emmanuel Elysee Djedje Agbadou,75,79,0
Asger Strømgaard Sørensen,75,78,0
Pedro Chirivella Burgos,75,78,0
Nick Olij,75,78,1
Dominic Solanke,75,78,0
Greg John Taylor,75,78,0
Andreas Schjølberg Hanche-Olsen,75,78,0
Harold Moukoudi,75,78,0
Selim Amallah,75,78,0
Waldemar Anton,75,78,0
Romain Perraud,75,78,0
Daniel James,75,78,0
Joaquín Fernández Moreno,75,78,0
Odsonne Édouard,75,78,0
Leonardo Duarte da Silva,75,78,0
